Deployment model,Metric,Mean (Azure),Mean (AWS),Median (Azure),Median (AWS),IQR (Azure),IQR (AWS),U,p,Cliff's delta,Effect size,p_adj (Holm),Significant
VM-based,time_secs,449.700000,91.100000,381.000000,62.000000,396.000000,52.750000,368.000000,0.000006,0.840000,large,0.000047,True
VM-based,component_correctness,0.712500,0.900000,0.750000,1.000000,0.500000,0.000000,112.000000,0.005274,-0.440000,medium,0.026370,True
VM-based,difficulty,2.350000,1.250000,2.000000,1.000000,2.000000,0.000000,313.000000,0.000788,0.565000,large,0.004728,True
Container-based,time_secs,400.300000,452.500000,288.000000,322.500000,334.000000,332.750000,167.000000,0.379332,-0.165000,small,0.758664,False
Container-based,component_correctness,0.687500,0.516667,0.750000,0.333333,0.500000,0.416667,275.000000,0.037655,0.375000,medium,0.112964,False
Container-based,difficulty,2.350000,2.400000,2.000000,2.000000,2.000000,1.000000,186.500000,0.713829,-0.067500,negligible,0.758664,False
Serverless-based,time_secs,353.350000,47.650000,206.500000,0.000000,436.500000,67.000000,365.000000,0.000006,0.825000,large,0.000047,True
Serverless-based,difficulty,2.100000,1.250000,2.000000,1.000000,2.000000,0.000000,289.500000,0.006214,0.447500,medium,0.026370,True
